"COMPONENT","STATUS","LOGICAL-CLOCK-TIMESTAMP"
"MotionSensor","motion-detected","32285"
"DoorSensor","false","32288"
"MotionSensor","motion-detected","32294"
"DoorSensor","false","32297"
"TemperatureSensor","0.0","32302"
"Outlet","on","32303"
"MotionSensor","motion-detected","32306"
"DoorSensor","false","32309"
"MotionSensor","motion-detected","32315"
"DoorSensor","false","32318"
"MotionSensor","motion-detected","32324"
"DoorSensor","false","32327"
"MotionSensor","motion-detected","32333"
"DoorSensor","false","32336"
"MotionSensor","motion-detected","32342"
"DoorSensor","false","32345"
"MotionSensor","motion-detected","32351"
"DoorSensor","false","32354"
"MotionSensor","motion-detected","32360"
"DoorSensor","false","32363"
"MotionSensor","motion-detected","32369"
"DoorSensor","false","32372"
"MotionSensor","motion-detected","32378"
"DoorSensor","false","32381"
"MotionSensor","motion-detected","32387"
"DoorSensor","false","32390"
"MotionSensor","motion-detected","32396"
"DoorSensor","false","32399"
"MotionSensor","motion-detected","32405"
"DoorSensor","false","32408"
"MotionSensor","motion-detected","32414"
"DoorSensor","false","32417"
"MotionSensor","motion-detected","32423"
"DoorSensor","false","32426"
"MotionSensor","motion-detected","32432"
"DoorSensor","false","32435"
"MotionSensor","motion-detected","32441"
"DoorSensor","false","32444"
"MotionSensor","motion-detected","32450"
"DoorSensor","false","32453"
"MotionSensor","motion-detected","32459"
"DoorSensor","false","32462"
"MotionSensor","motion-detected","32468"
"DoorSensor","false","32471"
"MotionSensor","motion-detected","32477"
"DoorSensor","false","32480"
"MotionSensor","motion-detected","32486"
"DoorSensor","false","32489"
"MotionSensor","motion-detected","32495"
"DoorSensor","false","32498"
"MotionSensor","motion-detected","32504"
"DoorSensor","false","32507"
